home_grid,age,gender,is_local,ses,avg_dis
143133,a6,2,Y,73,4.173
143133,a7,1,N,73,4.901
143133,a7,1,Y,73,8.74
143133,a7,2,N,73,3.269
143133,a7,2,Y,73,6.359
143134,a1,2,Y,93,2.477
143134,a2,1,N,93,5.776
143134,a2,1,Y,93,5.545
143134,a2,2,Y,93,6.535
143134,a3,1,N,93,1.109
143134,a3,1,Y,93,4.942
143134,a3,2,N,93,14.119
143134,a3,2,Y,93,10.735
143134,a4,1,N,93,3.33
143134,a4,1,Y,93,4.591
143134,a4,2,N,93,8.567
143134,a4,2,Y,93,6.036
143134,a5,1,N,93,7.907
143134,a5,1,Y,93,5.714
143134,a5,2,N,93,4.045
143134,a5,2,Y,93,6.594
143134,a6,1,N,93,3.074
143134,a6,1,Y,93,2.562
